a0,a2,LOG_AVE_RMSE
1.0,0.0,1.642654338871464
0.85166983374382,-0.1702493570581856,5.096215399240351
1.043975253094226,-0.19142550713624035,5.2248691899091595
0.8608802884715028,0.181882451201073,5.2226295322961676
1.1218730234262169,-0.10230796408493313,4.6806020689991
0.9300789216459077,-0.024277978102740017,3.34500132795422
0.853915388440385,0.037889302210411036,3.952389268673672
1.1912863879581232,-0.16455499556905498,5.161960645884532
0.9175763653515492,-0.10438240971091169,4.623273396151016
1.0066446628814938,-0.1816115865869133,5.162251566721561
0.905863488886021,0.06854668410773318,4.317631661038216
1.115708075535606,-0.05423226377963741,4.084495468073839
0.845371870909253,-0.13328324953217038,4.896908096610736
0.8072998972304425,0.11542779304700296,4.8498939741081175
0.9108571978104163,0.1460294639463059,4.993446730096349
1.011488255637685,0.07716880720262298,4.319492144364992
1.2,0.007632786074429909,3.025900344405044
1.2,0.0011735338049683741,3.0272017570302654
0.8,-0.00670904805626224,3.213332283449657
1.116793876646769,0.0013723398111579743,2.425751730550099
1.026300722110884,0.0026666498447477927,1.7004123301924499
0.9923786510884927,0.002834631365228907,1.796025865394732
1.008540954787997,-0.00014886414320838814,1.5941070096651646
1.0157171553544297,-0.0013944413638295738,1.6391946917282776
1.0140487099256885,-0.0008494477882237672,1.619631940497143
1.0139399060997603,-0.0007958118740333808,1.6118810028897614
1.0139977029587859,-0.0007899804976614355,1.6122988910092027
1.0140307727183517,-0.0007801725341635979,1.6113738603345331
1.0140768425478957,-0.0007727603219026546,1.6106611400657358
1.014127963049755,-0.0007658045323552798,1.6099663483870654
1.0141893068148535,-0.0007598717974539593,1.6093703971700322
1.014258369771656,-0.0007540583507525955,1.6087834647541486
1.0143330797327026,-0.0007486586594174227,1.608235362935295
1.0144566931917103,-0.0007431536181840559,1.6076332788864183
1.0145164855738973,-0.0007364795247756795,1.606982316503233
1.014627279175314,-0.0007298574906566269,1.606310324922129
1.0147467884411332,-0.0007228466265381261,1.6055949505512226
1.0148998088107468,-0.0007157337589295543,1.6048499593917926
1.0150447817515436,-0.0007057332168594332,1.6054120491768265
1.0151940219575044,-0.0006950775657482144,1.6043494486609968
1.0153688895522945,-0.0006830425772078874,1.6029972412045246
1.0155779352368188,-0.0006672524136301372,1.6016356217167407
1.015893678505037,-0.0006697751200883673,1.6098206299507838
1.0157806931482314,-0.0006494231532092887,1.5999732656149486
1.0160873779020307,-0.0006267308478659361,1.5978697838800955
1.0164433684619865,-0.0006007049068468273,1.5797214791697087
1.0172436655114763,-0.0005559243356051125,1.591400873980308
1.0176124432199503,-0.0005318026336129655,1.5898680942314254
1.0181476284767412,-0.0004947460169810181,1.5871119776837106
1.0186086298650203,-0.0004799748579182306,1.586320853997323
1.0190827840745302,-0.00045855846922213117,1.5824958904012778
1.0196283724408655,-0.0004356688613341986,1.5695540935693493
1.0204332248369403,-0.00040506291371875114,1.5828730875302717
1.020860770137004,-0.00039072941763912405,1.582538734654155
1.0213386887289242,-0.0003876881950059252,1.5834359842716013
